"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
1669835,"0100114","GEOMETRIA I","28/02/1991",19,"Convalidato"
1669835,"0100115","GEOMETRIA II","29/10/1996",25,"Superato"
1669835,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","11/06/1997",23,"Superato"
1669835,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","27/02/1998",28,"Superato"
1669835,"0100135","LOGICA MATEMATICA","09/09/1997",30,"Superato"
1669835,"0100140","MECCANICA RAZIONALE","10/02/1995",23,"Superato"
1669835,"0100176","TEORIA DELLE FUNZIONI","14/07/1999",27,"Superato"
1669835,"0100214","STORIA DELLE MATEMATICHE","15/02/2000",28,"Superato"
1669835,"0100882","PREPARAZIONE DI ESPERIENZE DIDATTICHE","28/10/1998",24,"Superato"
1683871,"0100001","ALGEBRA","25/10/1991",24,"Superato"
1683871,"0100004","ANALISI MATEMATICA I","13/07/1993",26,"Superato"
1683871,"0100006","ANALISI MATEMATICA II","13/10/1994",18,"Superato"
1683871,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","06/07/1999",27,"Superato"
1683871,"0100021","CALCOLI NUMERICI E GRAFICI","22/11/1995",26,"Superato"
1683871,"0100084","FISICA GENERALE I","15/07/1992",20,"Superato"
1683871,"0100085","FISICA GENERALE II","06/02/1995",26,"Superato"
1683871,"0100114","GEOMETRIA I","04/07/1991",23,"Superato"
1683871,"0100115","GEOMETRIA II","14/02/1994",23,"Superato"
1683871,"0100135","LOGICA MATEMATICA","26/10/1994",30,"Superato"
1683871,"0100140","MECCANICA RAZIONALE","11/02/1999",24,"Superato"
1683871,"0100171","STATISTICA MATEMATICA","17/07/1996",30,"Superato"
1683871,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","15/04/1996",28,"Superato"
1683871,"0100242","ANALISI NUMERICA","25/06/1997",30,"Superato"
1683871,"0100409","LINGUAGGI PROGRAMMATIVI","30/04/1998",30,"Superato"
1768849,"0100001","ALGEBRA","26/06/1992",24,"Superato"
1768849,"0100004","ANALISI MATEMATICA I","18/06/1993",27,"Superato"
1768849,"0100006","ANALISI MATEMATICA II","06/07/1994",24,"Superato"
1768849,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","12/02/1998",27,"Superato"
1768849,"0100021","CALCOLI NUMERICI E GRAFICI","12/07/1995",27,"Superato"
1768849,"0100084","FISICA GENERALE I","16/03/1994",19,"Superato"
