sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,66,7.25,28
M,48,37,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,72,16.5,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,8.5,28
M,48,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,61,3.5,28
M,47,9,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,13.5,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,74,13.25,28
M,47,13,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,7.5,28
F,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,11.75,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,70,10.75,28
M,48,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,14.5,28
F,48,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,10.25,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,13.75,28
M,58,91,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,72,7,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,14.75,28
M,48,15,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,63,11,28
M,48,50,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,12.5,28
F,48,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2006,67,13.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,100,14.5,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,60,9.75,28
M,47,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,98,13.5,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2007,94,13.75,28
M,65,13,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,65,0.25,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2010,77,15,28
F,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,93,12,28
F,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,12.25,28
F,51,19,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,15,28
M,65,81,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,8.25,28
M,65,81,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,91,13.25,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,6.75,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,15,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,10.5,28
M,71,60,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,14.75,28
F,47,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,15,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,63,12.25,28
F,48,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2001,61,4.5,28
M,48,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,62,8.75,28
F,48,44,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,11.25,28
M,51,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2001,100,17.25,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,63,15.5,28
M,100,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,71,11.25,28
M,48,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,15,28
M,76,88,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,93,12.25,28
M,51,12,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,86,14.5,28
F,48,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,72,12,28
M,48,15,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,66,14.75,28
F,48,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,11.5,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,9.25,28
M,21,110,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,73,8.75,28
F,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,88,13.5,28
M,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,83,16,28
F,42,40,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,70,9.75,28
F,48,44,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,62,14.75,28
F,48,2,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,76,11.25,28
M,104,4,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,83,13.5,28
F,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,69,6.75,28
F,95,39,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,70,7,28
M,84,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,75,11,28
F,48,5,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,96,20.5,28
M,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,76,15.25,28
F,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,77,11.25,28
M,48,1,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2012,68,16.75,28
M,54,51,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2012,80,13.25,28
F,48,41,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,98,15.75,28
M,88,12,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,75,18.5,28
F,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,90,14,28
M,55,23,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,88,16,28
M,48,18,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,76,19.5,28
M,48,17,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,80,15,28
M,63,5,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2006,65,11.5,28
M,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,96,17.75,28
M,84,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,95,13.75,28
F,84,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,95,15,28
F,84,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,100,14,28
F,84,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,100,7.5,28
F,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2012,81,10.75,28
F,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,99,13.5,28
M,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,100,17.25,28
M,47,17,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,74,11.25,28
M,48,17,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2011,67,13.25,28
F,48,41,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,65,12,28
M,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,76,7.5,28
M,48,43,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,64,13,28
F,48,5,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,76,13.5,28
F,48,17,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2011,92,12,28
F,49,11,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,80,14.5,28
F,48,6,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2013,100,15,28
M,48,17,Istituto Tecnico Commerciale e per Geometri,Istituto Tecnico Commerciale,2010,76,11.75,28
F,100,5,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,86,10.25,28
F,51,2,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,84,12.75,28
M,47,20,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,95,17.75,28
F,48,38,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,89,10,28
M,47,14,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,80,13.75,28
F,48,17,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,72,12,28
F,48,41,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,95,15.75,28
F,47,20,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,80,10.5,28
M,47,14,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,65,12.75,28
M,48,44,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,83,16.5,28
F,47,14,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,65,10.75,28
M,48,10,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2013,80,16,28
M,47,14,Istituto Tecnico Commerciale Sperimentale,Istituto Tecnico Commerciale,2012,65,8,28
M,47,19,Istituto Tecnico Industriale,Istituto Tecnico Industriale,1991,90,17,28
M,1,272,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2011,76,14.5,28
M,47,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2010,78,6.25,28
M,37,15,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2011,60,12.5,28
M,48,13,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,98,11.5,28
M,48,42,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2007,60,12.75,28
M,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,72,15.25,28
M,52,20,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,78,10.25,28
M,48,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,60,16.25,28
M,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,67,9.25,28
M,46,18,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,82,19,28
M,48,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2012,66,19.25,28
M,51,2,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,68,12.75,28
M,73,13,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,94,5.5,28
F,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2011,92,16,28
M,100,3,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,77,14,28
M,100,2,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2010,80,14.75,28
M,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2012,88,17.25,28
M,47,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2009,64,7,28
F,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,100,7.75,28
M,48,41,Istituto Tecnico Industriale,Istituto Tecnico Industriale,1997,86.6667,12.5,28
M,48,41,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,75,10,28
M,48,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,67,12.75,28
M,51,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2013,65,8.25,28
M,47,14,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2007,60,8.25,28
M,48,14,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2012,60,8.5,28
M,51,26,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2012,83,11.75,28
M,48,24,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2011,65,20.5,28
M,48,17,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2011,72,12.75,28
M,100,5,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2012,71,16,28
M,48,14,Istituto Tecnico Industriale,Istituto Tecnico Industriale,2009,67,6.25,28
M,51,37,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,84,16.5,28
M,48,6,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,95,12,28
M,48,17,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2012,60,10.25,28
M,51,20,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2010,63,10.5,28
F,47,5,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,93,14.25,28
M,48,44,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,78,14.5,28
M,48,17,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2012,78,18,28
M,48,33,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2012,76,16.25,28
M,66,49,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,65,9,28
M,48,17,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,78,10,28
M,48,17,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,90,20.5,28
M,100,5,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2011,76,12,28
M,48,24,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,71,12.5,28
M,48,1,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,1993,88.3333,19,28
F,51,2,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2009,70,4.25,28
M,48,14,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2011,76,13.5,28
F,51,26,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,86,14,28
M,47,14,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,70,10.25,28
M,48,42,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,60,12,28
M,48,35,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,68,8.25,28
M,79,69,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2012,68,7.5,28
F,48,10,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,88,13.75,28
M,48,16,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,95,19,28
F,100,5,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,62,6.5,28
M,48,24,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2009,85,14.25,28
M,51,36,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,80,17.75,28
M,51,12,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2012,84,14.5,28
M,48,6,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,60,9.25,28
M,48,6,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,85,8.75,28
M,100,5,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,65,13.25,28
M,51,17,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,62,8.75,28
M,100,5,Istituto Tecnico per Geometri,Istituto Tecnico Industriale,2013,60,10.5,28
M,48,17,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,85,13.25,28
F,48,35,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,84,11,28
M,50,32,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,67,12.25,28
F,81,11,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,85,1.75,28
F,48,17,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,60,9.25,28
F,47,9,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,100,14.25,28
F,47,11,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,83,13.5,28
F,47,9,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,80,9.75,28
F,100,5,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,85,14.25,28
F,48,1,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,80,14.5,28
F,48,38,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,92,11,28
F,47,8,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2012,82,12,28
F,99,2,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,90,19,28
F,48,17,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2006,60,9.5,28
M,48,17,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,2013,90,11.5,28
F,48,15,Istituto Tecnico per il Turismo,Istituto Tecnico Commerciale,1989,100,6.75,28
F,48,17,Liceo (socio-psico) Pedagogico,Altro istituto,2011,60,7,28
M,48,17,Liceo (socio-psico) Pedagogico,Altro istituto,2013,98,14.5,28
F,100,5,Liceo (socio-psico) Pedagogico,Altro istituto,2013,73,10.75,28
F,48,6,Liceo (socio-psico) Pedagogico,Altro istituto,2013,93,10.5,28
F,47,20,Liceo (socio-psico) Pedagogico,Altro istituto,2013,82,13.5,28
F,82,53,Liceo (socio-psico) Pedagogico,Altro istituto,2013,63,8,28
F,48,16,Liceo (socio-psico) Pedagogico,Altro istituto,2013,70,8.75,28
M,52,15,Liceo (socio-psico) Pedagogico,Altro istituto,2013,90,13.25,28
F,47,14,Liceo (socio-psico) Pedagogico,Altro istituto,2013,65,7.75,28
M,51,2,Liceo (socio-psico) Pedagogico,Altro istituto,2013,76,15.75,28
F,92,9,Liceo (socio-psico) Pedagogico,Altro istituto,2012,81,11.5,28
F,47,17,Liceo (socio-psico) Pedagogico,Altro istituto,2013,75,13,28
M,47,2,Liceo (socio-psico) Pedagogico,Altro istituto,2013,70,12.5,28
F,100,5,Liceo (socio-psico) Pedagogico,Altro istituto,2012,71,9.25,28
F,47,14,Liceo (socio-psico) Pedagogico,Altro istituto,2012,68,16.25,28
F,48,24,Liceo (socio-psico) Pedagogico,Altro istituto,2013,67,6.25,28
F,100,2,Liceo (socio-psico) Pedagogico,Altro istituto,2008,80,15.25,28
F,48,37,Liceo (socio-psico) Pedagogico,Altro istituto,2013,80,12.5,28
F,48,4,Liceo Artistico,Istituto d'Arte,2012,81,14.25,28
F,48,2,Liceo Artistico,Istituto d'Arte,2010,60,7.5,28
M,48,50,Liceo Artistico,Istituto d'Arte,2013,65,13.25,28
M,48,24,Liceo Classico,Liceo Classico,2010,64,16,28
M,55,32,Liceo Classico,Liceo Classico,2013,88,14,28
F,48,44,Liceo Classico,Liceo Classico,2013,71,6.75,28
F,48,17,Liceo Classico,Liceo Classico,2013,82,20,28
M,53,18,Liceo Classico,Liceo Classico,2013,100,18.75,28
F,48,41,Liceo Classico,Liceo Classico,2013,68,15.75,28
F,29,52,Liceo Classico,Liceo Classico,2013,60,10.75,28
F,47,14,Liceo Classico,Liceo Classico,2013,83,15.25,28
M,15,146,Liceo Classico,Liceo Classico,2013,64,14.75,28
F,48,1,Liceo Classico,Liceo Classico,2013,73,11.25,28
F,48,22,Liceo Classico,Liceo Classico,2013,83,14,28
M,48,17,Liceo Classico,Liceo Classico,2013,64,12.5,28
F,48,14,Liceo Classico,Liceo Classico,2013,68,9.75,28
M,48,43,Liceo Classico,Liceo Classico,2013,64,8,28
F,48,17,Liceo Classico,Liceo Classico,2013,100,14.25,28
F,48,17,Liceo Classico,Liceo Classico,2013,94,17.75,28
F,48,17,Liceo Classico,Liceo Classico,2013,85,8.25,28
F,73,21,Liceo Classico,Liceo Classico,2013,85,11.5,28
M,48,17,Liceo Classico,Liceo Classico,2013,70,18,28
F,48,17,Liceo Classico,Liceo Classico,2013,79,16.5,28
F,48,17,Liceo Classico,Liceo Classico,2013,75,12.75,28
F,48,44,Liceo Classico,Liceo Classico,2012,78,16,28
F,47,3,Liceo Classico,Liceo Classico,2012,75,18.25,28
F,48,17,Liceo Classico,Liceo Classico,2013,71,11.25,28
M,54,11,Liceo Classico,Liceo Classico,2013,68,11.25,28
F,48,41,Liceo Classico,Liceo Classico,2013,80,10.75,28
F,48,17,Liceo Classico,Liceo Classico,2013,70,5.5,28
F,48,17,Liceo Classico,Liceo Classico,2013,68,11.75,28
M,48,17,Liceo Classico,Liceo Classico,2013,84,18.5,28
F,66,46,Liceo Classico,Liceo Classico,2013,65,8,28
M,48,17,Liceo Classico,Liceo Classico,2013,72,18.25,28
M,51,2,Liceo Classico,Liceo Classico,2013,70,11.5,28
M,48,17,Liceo Classico,Liceo Classico,2013,67,11.75,28
M,51,2,Liceo Classico,Liceo Classico,2013,78,14.25,28
F,51,26,Liceo Classico,Liceo Classico,2013,89,15.75,28
F,48,21,Liceo Classico,Liceo Classico,2012,73,15,28
F,78,128,Liceo Classico,Liceo Classico,2013,72,5,28
F,48,17,Liceo Classico,Liceo Classico,2013,95,20.75,28
F,48,41,Liceo Classico,Liceo Classico,2013,70,8.75,28
M,48,17,Liceo Classico,Liceo Classico,2011,80,13.75,28
M,48,17,Liceo Classico,Liceo Classico,2013,67,15,28
M,51,17,Liceo Classico,Liceo Classico,2013,87,13.75,28
M,48,17,Liceo Classico,Liceo Classico,2013,64,6.5,28
M,48,17,Liceo Classico,Liceo Classico,2013,83,19.5,28
M,76,98,Liceo Classico,Liceo Classico,2013,74,10,28
F,47,12,Liceo Classico,Liceo Classico,2013,78,12.5,28
F,77,29,Liceo Classico,Liceo Classico,2013,81,10.5,28
F,48,17,Liceo Classico,Liceo Classico,2013,80,15.25,28
F,48,4,Liceo Classico,Liceo Classico,2013,90,19,28
F,49,14,Liceo Classico,Liceo Classico,2013,90,16.75,28
M,48,17,Liceo Classico,Liceo Classico,2013,71,21.5,28
F,101,4,Liceo Classico,Liceo Classico,2012,100,5.75,28
F,51,2,Liceo Classico,Liceo Classico,2013,82,13.75,28
F,48,15,Liceo Classico,Liceo Classico,2013,67,14.5,28
F,100,5,Liceo Classico,Liceo Classico,2013,80,15,28
F,100,5,Liceo Classico,Liceo Classico,2010,90,12.5,28
F,51,17,Liceo Classico,Liceo Classico,2013,95,13,28
F,51,17,Liceo Classico,Liceo Classico,2013,81,16.5,28
F,51,2,Liceo Classico,Liceo Classico,2013,87,12.25,28
M,48,17,Liceo Classico,Liceo Classico,2013,88,16,28
M,48,17,Liceo Classico,Liceo Classico,2013,72,16,28
M,78,102,Liceo Classico,Liceo Classico,2010,68,7,28
F,48,17,Liceo Classico,Liceo Classico,2013,97,16.25,28
M,48,17,Liceo Classico,Liceo Classico,2013,68,16.5,28
M,48,17,Liceo Classico,Liceo Classico,2012,72,19.5,28
F,48,17,Liceo Classico,Liceo Classico,2008,72,15.5,28
F,48,17,Liceo Classico,Liceo Classico,2013,80,16.5,28
M,88,9,Liceo Classico,Liceo Classico,2013,62,9.75,28
F,54,13,Liceo Classico,Liceo Classico,2013,67,14.75,28
F,48,17,Liceo Classico,Liceo Classico,2013,67,9,28
F,92,9,Liceo Classico,Liceo Classico,2012,76,14,28
F,48,6,Liceo Classico,Liceo Classico,2013,74,10.25,28
M,48,17,Liceo Classico,Liceo Classico,2013,61,13.25,28
F,48,17,Liceo Classico,Liceo Classico,2013,100,22.75,28
M,48,1,Liceo Classico,Liceo Classico,2013,68,11.5,28
M,100,5,Liceo Classico,Liceo Classico,1994,87,16.5,28
M,48,35,Liceo Classico,Liceo Classico,2012,62,12.25,28
F,47,9,Liceo Classico,Liceo Classico,2013,61,10,28
F,48,17,Liceo Classico,Liceo Classico,2013,80,12.25,28
M,48,43,Liceo Classico,Liceo Classico,2010,60,14.25,28
M,48,17,Liceo Classico,Liceo Classico,2013,60,10,28
M,47,14,Liceo Classico,Liceo Classico,2012,76,12.5,28
M,100,5,Liceo Linguistico,Liceo Linguistico,2013,77,10.5,28
F,47,6,Liceo Linguistico,Liceo Linguistico,2013,64,11.5,28
F,47,16,Liceo Linguistico,Liceo Linguistico,2013,72,14.25,28
M,52,22,Liceo Linguistico,Liceo Linguistico,2013,82,12.75,28
F,48,21,Liceo Linguistico,Liceo Linguistico,2013,68,10.25,28
F,48,40,Liceo Linguistico,Liceo Linguistico,2013,84,16.25,28
M,100,5,Liceo Linguistico,Liceo Linguistico,2013,71,11.5,28
F,51,9,Liceo Linguistico,Liceo Linguistico,0,76,12.5,28
F,48,49,Liceo Linguistico,Liceo Linguistico,2013,94,15.25,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,89,9.25,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2010,100,15.5,28
M,48,17,Liceo Linguistico,Liceo Linguistico,2013,75,14,28
F,47,12,Liceo Linguistico,Liceo Linguistico,2013,76,11,28
M,48,5,Liceo Linguistico,Liceo Linguistico,2013,64,12,28
F,47,17,Liceo Linguistico,Liceo Linguistico,2013,98,14.5,28
M,47,2,Liceo Linguistico,Liceo Linguistico,2013,80,18.25,28
M,48,17,Liceo Linguistico,Liceo Linguistico,2013,100,15.5,28
F,47,20,Liceo Linguistico,Liceo Linguistico,2013,100,16,28
F,51,26,Liceo Linguistico,Liceo Linguistico,2013,75,13.25,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,84,14.25,28
F,28,82,Liceo Linguistico,Liceo Linguistico,2013,60,13,28
M,48,6,Liceo Linguistico,Liceo Linguistico,2013,60,13.75,28
M,53,2,Liceo Linguistico,Liceo Linguistico,2013,70,8.75,28
F,54,11,Liceo Linguistico,Liceo Linguistico,2013,100,12.5,28
M,47,9,Liceo Linguistico,Liceo Linguistico,2013,97,16.5,28
F,51,26,Liceo Linguistico,Liceo Linguistico,2013,78,13.25,28
F,100,5,Liceo Linguistico,Liceo Linguistico,2013,85,16.5,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,72,6.25,28
F,100,5,Liceo Linguistico,Liceo Linguistico,2013,80,12,28
F,48,21,Liceo Linguistico,Liceo Linguistico,2013,73,6.5,28
M,48,17,Liceo Linguistico,Liceo Linguistico,2013,76,8.25,28
M,47,21,Liceo Linguistico,Liceo Linguistico,2013,74,18.75,28
F,53,11,Liceo Linguistico,Liceo Linguistico,2013,97,7,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,70,13,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,70,7.25,28
M,53,11,Liceo Linguistico,Liceo Linguistico,2013,100,13,28
F,47,8,Liceo Linguistico,Liceo Linguistico,2013,100,13.25,28
F,103,41,Liceo Linguistico,Liceo Linguistico,2013,87,12.25,28
F,47,14,Liceo Linguistico,Liceo Linguistico,2013,100,12.5,28
F,48,2,Liceo Linguistico,Liceo Linguistico,2013,80,9.5,28
F,48,5,Liceo Linguistico,Liceo Linguistico,2013,76,12.5,28
F,48,42,Liceo Linguistico,Liceo Linguistico,2013,84,8.5,28
F,51,2,Liceo Linguistico,Liceo Linguistico,2013,71,9,28
F,51,26,Liceo Linguistico,Liceo Linguistico,2013,80,11.75,28
F,74,1,Liceo Linguistico,Liceo Linguistico,2013,91,9.5,28
F,47,22,Liceo Linguistico,Liceo Linguistico,2013,100,16.75,28
M,47,16,Liceo Linguistico,Liceo Linguistico,2013,77,18.25,28
F,47,9,Liceo Linguistico,Liceo Linguistico,2013,93,13,28
M,53,11,Liceo Linguistico,Liceo Linguistico,2013,95,14,28
F,48,24,Liceo Linguistico,Liceo Linguistico,2013,84,10.75,28
F,48,17,Liceo Linguistico,Liceo Linguistico,2013,80,10,28
