sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,48,17,Istituto Professionale Servizi Commerciali e Turistici,Istituto Professionale Commerciale,2013,61,-1,28
F,47,18,Istituto Professionale Servizi Commerciali e Turistici,Istituto Professionale Commerciale,2013,80,10.5,28
M,48,17,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2012,70,15.5,28
M,48,17,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2013,94,12,28
M,48,17,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2013,80,19.5,28
M,76,100,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2013,73,5,28
M,48,49,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2013,72,13,28
M,53,11,Istituto Tecnico Agrario,Istituto Tecnico Industriale,2013,91,8.5,28
M,48,38,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,70,8.5,28
F,47,14,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,84,7.5,28
F,48,17,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,60,11.25,28
M,48,43,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,77,16.25,28
M,48,41,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,1994,70,16.5,28
M,47,17,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,67,16.5,28
F,100,1,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,73,8.75,28
M,48,17,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,60,15.75,28
M,47,12,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,76,7,28
F,48,41,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,80,7,28
F,48,16,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,64,8.75,28
F,48,43,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,70,14,28
M,48,1,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,68,12,28
M,48,14,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,90,17,28
M,48,42,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,80,11.25,28
M,48,17,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,74,12.75,28
M,47,8,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,85,10.5,28
F,48,17,Istituto Tecnico Aziendale,Istituto Tecnico Commerciale,2013,72,9.5,28
F,47,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,66,9,28
