# Nominal variables A B 
X   Y   Z   S   T   U   W   A   R     P     B   Q
0	0	0	27	0	0	2	0	0	41.4374	1	6
0	0	0	15	7	1	3	1	0	35.8932	2	1
0	0	2	14	9	1	9	0	0	52.8131	1	5
0	1	3	15	23	5	7	0	2	65.7632	1	4
0	1	1	14	27	3	1	0	4	44.3614	2	2
0	0	1	21	6	2	2	1	0	56.8624	1	4
2	4	2	22	2	2	1	0	0	41.3744	1	2
5	3	7	6	25	3	7	1	2	29.1581	2	4
7	15	20	2	19	0	5	0	2	35.551	3	7
0	0	0	10	22	7.5	7	1	0	53.3443	1	4.5
0	0	2	19	6	0	5	0	0	44.512	1	7
0	0	6	24	15	2	5	0	0	35.436	1	4
1	2	1	25	8	4	5	0	0	27.1294	3	4
2	1	1	26	18	0	2	0	0	31.7919	2	2
2	6	0	23	5	3	2	0	1	38.0534	3	5
0	10	8	19	33	10	5	1	2	23.1814	3	9
0	0	0	26	13	1	4	0	1	30.9322	2	5
0	1	1	19	12	0	5	0	0	29.87	3	5
2	5	0	21	34	12	7	0	1.33	34.256	3	2
0	0	0	25	14	2	1	0	0	41.0869	2	6
6	8	4	26	12	5	4	0	2	30.3737	3	5
7	15	13	25	17	9	5	0	0	45.3826	1	4
4	1	1	20	17	6	4	0	1	40.6434	1	6
1	0	1	24	10	1	3	1	0	52.1369	1	2
1	5	3.6	23	21	7	2	0	2	49.0513	1	2
15	16	14	5	46	3	2	1	2	48.6845	2	3
0	3	0	18	6	1	0	0	2	40.4134	1	1
1	2	2	7	61	11	4	0	2	28.6242	3	1
0	0	2	19	18	3	2	0	1	37.7659	2	6
0	4	3	27	10	0	4	1	1	35.4579	1	4
4	4	2	19	9	8	1	0	3	30.6201	2	7
4	2	1	24	10	8	6	0	2	33.2621	1	1
0	0	3	5	30	0	4	0	1	41.3032	1	3
4	3	1	9	24	5	0	0	2	48.6297	1	1
0	2	1	25	16	3	7	0	1	46.0096	1	3
1	3	1	22	33	1	0	0	0	34.486	2	3
1	3	1	17	28	6	7	0	1	40.9391	1	2
2	1	1	27	2	0	6	0	0	26.2122	2	2
0	4	1	25	5	3	4	0	2	41.5003	2	2
0	3	5	24	22	5	5	0	0	25.6016	2	7
0	5	3	25	26	1	6	1	1	32.8624	2	4
4	2	7	6.42	32.97	8.75	2	0	1	28.5202	1	4
0	0	1	22	5	0	1	0	3	65.1088	1	7
1	6	1	11	23	11	2	0	2	27.5948	2	1
0	1	0	17	8	0	2	0	0	63.989	1	2
0	1	6	20	5	8	2	0	1	48.5065	2	5
5	3	3	12	21	2.5	8	0	0	60.3614	1	3
0	2	2	22	0	2	0	0	1	65.755	1	3
0	5	2	21	18	4	5	0	1	53.9932	1	7
6	6	0	14	21	2	1	0	1	56.4189	2	6
0	0	0	21	11	0	4	0	0	47.3949	2	7
